============ Start of Season ============
1967-11-15 | w: DET | L: PHI
1967-11-16 | w: HOU | L: CHI
1967-11-17 | w: PHI | L: ATL
1967-11-17 | w: SAC | L: BOS
1967-11-17 | w: GSW | L: CHI
1967-11-17 | w: WAS | L: LAL
1967-11-17 | w: OKC | L: HOU
1967-11-18 | w: LAL | L: ATL
1967-11-18 | w: WAS | L: NYK
1967-11-18 | w: GSW | L: HOU
1967-11-18 | w: CHI | L: DET
1967-11-18 | w: BOS | L: PHI
1967-11-19 | w: OKC | L: DET
1967-11-20 | w: DET | L: OKC
1967-11-21 | w: BOS | L: HOU
1967-11-21 | w: GSW | L: DET
1967-11-21 | w: OKC | L: LAL
1967-11-21 | w: NYK | L: CHI
1967-11-22 | w: ATL | L: PHI
1967-11-22 | w: BOS | L: HOU
1967-11-22 | w: CHI | L: WAS
1967-11-22 | w: SAC | L: NYK
1967-11-23 | w: LAL | L: DET
1967-11-23 | w: OKC | L: BOS
1967-11-23 | w: CHI | L: NYK
1967-11-23 | w: PHI | L: HOU
1967-11-24 | w: DET | L: HOU
1967-11-24 | w: PHI | L: CHI
1967-11-24 | w: SAC | L: OKC
1967-11-24 | w: GSW | L: LAL
1967-11-25 | w: GSW | L: LAL
1967-11-25 | w: ATL | L: HOU
1967-11-25 | w: NYK | L: OKC
1967-11-25 | w: WAS | L: BOS
1967-11-25 | w: CHI | L: PHI
1967-11-25 | w: DET | L: SAC
1967-11-26 | w: LAL | L: ATL
1967-11-28 | w: LAL | L: ATL
1967-11-28 | w: BOS | L: DET
1967-11-28 | w: PHI | L: NYK
1967-11-28 | w: GSW | L: WAS
1967-11-28 | w: OKC | L: CHI
1967-11-29 | w: DET | L: LAL
1967-11-29 | w: GSW | L: PHI
1967-11-29 | w: NYK | L: SAC
1967-11-30 | w: ATL | L: HOU
1967-12-01 | w: PHI | L: OKC
1967-12-01 | w: BOS | L: LAL
1967-12-01 | w: GSW | L: ATL
1967-12-01 | w: WAS | L: SAC
1967-12-01 | w: CHI | L: NYK
1967-12-02 | w: LAL | L: NYK
1967-12-02 | w: DET | L: BOS
1967-12-02 | w: HOU | L: GSW
1967-12-02 | w: PHI | L: WAS
1967-12-02 | w: CHI | L: SAC
1967-12-03 | w: ATL | L: OKC
1967-12-05 | w: DET | L: HOU
1967-12-05 | w: GSW | L: OKC
1967-12-05 | w: NYK | L: WAS
1967-12-05 | w: CHI | L: SAC
1967-12-05 | w: LAL | L: PHI
1967-12-06 | w: BOS | L: NYK
1967-12-06 | w: DET | L: CHI
1967-12-06 | w: LAL | L: WAS
1967-12-06 | w: PHI | L: SAC
1967-12-07 | w: HOU | L: CHI
1967-12-08 | w: ATL | L: SAC
1967-12-08 | w: BOS | L: WAS
1967-12-08 | w: LAL | L: DET
1967-12-08 | w: CHI | L: OKC
1967-12-08 | w: HOU | L: GSW
1967-12-08 | w: PHI | L: NYK
1967-12-09 | w: GSW | L: CHI
1967-12-09 | w: DET | L: NYK
1967-12-09 | w: PHI | L: WAS
1967-12-09 | w: LAL | L: HOU
1967-12-09 | w: SAC | L: BOS
1967-12-10 | w: OKC | L: LAL
1967-12-10 | w: ATL | L: WAS
1967-12-12 | w: PHI | L: OKC
1967-12-12 | w: WAS | L: DET
1967-12-12 | w: HOU | L: CHI
1967-12-12 | w: ATL | L: NYK
1967-12-13 | w: CHI | L: GSW
1967-12-13 | w: DET | L: NYK
1967-12-13 | w: SAC | L: WAS
1967-12-14 | w: CHI | L: LAL
1967-12-14 | w: BOS | L: PHI
1967-12-15 | w: BOS | L: HOU
1967-12-15 | w: GSW | L: WAS
1967-12-15 | w: OKC | L: CHI
1967-12-15 | w: PHI | L: ATL
1967-12-15 | w: SAC | L: DET
1967-12-16 | w: ATL | L: GSW
1967-12-16 | w: NYK | L: HOU
1967-12-16 | w: SAC | L: DET
1967-12-16 | w: PHI | L: CHI
1967-12-17 | w: BOS | L: LAL
1967-12-17 | w: ATL | L: GSW
1967-12-17 | w: PHI | L: OKC
1967-12-17 | w: HOU | L: DET
1967-12-18 | w: DET | L: OKC
1967-12-19 | w: NYK | L: SAC
1967-12-19 | w: WAS | L: ATL
1967-12-19 | w: BOS | L: OKC
1967-12-20 | w: NYK | L: LAL
1967-12-20 | w: GSW | L: DET
1967-12-20 | w: PHI | L: OKC
1967-12-20 | w: BOS | L: HOU
1967-12-21 | w: WAS | L: CHI
1967-12-22 | w: LAL | L: DET
1967-12-22 | w: BOS | L: SAC
1967-12-22 | w: GSW | L: HOU
1967-12-22 | w: WAS | L: CHI
1967-12-22 | w: OKC | L: NYK
1967-12-23 | w: GSW | L: OKC
1967-12-23 | w: DET | L: HOU
1967-12-24 | w: GSW | L: OKC
1967-12-25 | w: BOS | L: NYK
1967-12-25 | w: PHI | L: WAS
1967-12-25 | w: HOU | L: LAL
1967-12-25 | w: SAC | L: OKC
1967-12-26 | w: OKC | L: NYK
1967-12-26 | w: GSW | L: BOS
1967-12-26 | w: DET | L: ATL
1967-12-26 | w: LAL | L: CHI
1967-12-26 | w: PHI | L: SAC
1967-12-27 | w: ATL | L: BOS
1967-12-27 | w: PHI | L: NYK
1967-12-27 | w: SAC | L: LAL
1967-12-28 | w: HOU | L: OKC
1967-12-28 | w: SAC | L: GSW
1967-12-29 | w: ATL | L: DET
1967-12-29 | w: LAL | L: NYK
1967-12-29 | w: WAS | L: SAC
1967-12-29 | w: CHI | L: GSW
1967-12-29 | w: PHI | L: BOS
1967-12-30 | w: LAL | L: ATL
1967-12-30 | w: PHI | L: DET
1967-12-31 | w: LAL | L: HOU
1967-12-31 | w: GSW | L: OKC
1968-01-01 | w: ATL | L: OKC
1968-01-01 | w: CHI | L: WAS
1968-01-02 | w: DET | L: WAS
1968-01-02 | w: GSW | L: LAL
1968-01-02 | w: SAC | L: NYK
1968-01-02 | w: CHI | L: BOS
1968-01-03 | w: BOS | L: LAL
1968-01-03 | w: CHI | L: WAS
1968-01-03 | w: NYK | L: PHI
1968-01-03 | w: HOU | L: ATL
1968-01-04 | w: ATL | L: GSW
1968-01-05 | w: NYK | L: CHI
1968-01-05 | w: BOS | L: OKC
1968-01-05 | w: PHI | L: LAL
1968-01-05 | w: DET | L: SAC
1968-01-06 | w: PHI | L: ATL
1968-01-06 | w: GSW | L: BOS
1968-01-06 | w: NYK | L: DET
1968-01-06 | w: OKC | L: HOU
1968-01-06 | w: CHI | L: SAC
1968-01-06 | w: WAS | L: LAL
1968-01-07 | w: SAC | L: PHI
1968-01-08 | w: NYK | L: OKC
1968-01-09 | w: ATL | L: CHI
1968-01-09 | w: DET | L: GSW
1968-01-09 | w: WAS | L: SAC
1968-01-09 | w: NYK | L: HOU
1968-01-10 | w: NYK | L: LAL
1968-01-10 | w: BOS | L: OKC
1968-01-10 | w: HOU | L: DET
1968-01-10 | w: ATL | L: PHI
1968-01-10 | w: SAC | L: WAS
1968-01-11 | w: ATL | L: WAS
1968-01-11 | w: SAC | L: BOS
1968-01-12 | w: ATL | L: HOU
1968-01-12 | w: BOS | L: DET
1968-01-12 | w: GSW | L: NYK
1968-01-12 | w: PHI | L: WAS
1968-01-13 | w: PHI | L: DET
1968-01-13 | w: CHI | L: WAS
1968-01-13 | w: SAC | L: HOU
1968-01-14 | w: ATL | L: CHI
1968-01-15 | w: OKC | L: NYK
1968-01-15 | w: BOS | L: GSW
1968-01-16 | w: OKC | L: WAS
1968-01-16 | w: CHI | L: HOU
1968-01-16 | w: SAC | L: GSW
1968-01-17 | w: HOU | L: CHI
1968-01-17 | w: LAL | L: PHI
1968-01-17 | w: BOS | L: ATL
1968-01-17 | w: DET | L: GSW
1968-01-17 | w: NYK | L: WAS
1968-01-18 | w: ATL | L: WAS
1968-01-18 | w: SAC | L: HOU
1968-01-19 | w: BOS | L: NYK
1968-01-19 | w: GSW | L: PHI
1968-01-19 | w: DET | L: OKC
1968-01-20 | w: LAL | L: GSW
1968-01-20 | w: ATL | L: OKC
1968-01-20 | w: WAS | L: BOS
1968-01-20 | w: PHI | L: CHI
1968-01-20 | w: SAC | L: DET
1968-01-21 | w: LAL | L: OKC
1968-01-21 | w: ATL | L: CHI
1968-01-21 | w: BOS | L: HOU
1968-01-21 | w: NYK | L: DET
1968-01-25 | w: ATL | L: BOS
1968-01-25 | w: PHI | L: DET
1968-01-25 | w: WAS | L: HOU
1968-01-25 | w: NYK | L: CHI
1968-01-25 | w: LAL | L: SAC
1968-01-26 | w: ATL | L: NYK
1968-01-26 | w: LAL | L: BOS
1968-01-26 | w: WAS | L: GSW
1968-01-26 | w: PHI | L: SAC
1968-01-27 | w: DET | L: LAL
1968-01-27 | w: WAS | L: HOU
1968-01-27 | w: ATL | L: SAC
1968-01-28 | w: LAL | L: ATL
1968-01-28 | w: BOS | L: PHI
1968-01-28 | w: NYK | L: GSW
1968-01-28 | w: OKC | L: WAS
1968-01-30 | w: SAC | L: DET
1968-01-30 | w: WAS | L: NYK
1968-01-30 | w: OKC | L: LAL
1968-01-30 | w: GSW | L: CHI
1968-01-30 | w: PHI | L: BOS
1968-01-31 | w: LAL | L: ATL
1968-01-31 | w: BOS | L: CHI
1968-01-31 | w: WAS | L: DET
1968-01-31 | w: NYK | L: SAC
1968-02-01 | w: NYK | L: CHI
1968-02-01 | w: ATL | L: OKC
1968-02-01 | w: GSW | L: HOU
1968-02-02 | w: LAL | L: OKC
1968-02-02 | w: BOS | L: WAS
1968-02-02 | w: GSW | L: HOU
1968-02-02 | w: SAC | L: CHI
1968-02-02 | w: PHI | L: DET
1968-02-03 | w: LAL | L: HOU
1968-02-03 | w: BOS | L: NYK
1968-02-03 | w: PHI | L: WAS
1968-02-03 | w: ATL | L: SAC
1968-02-04 | w: LAL | L: OKC
1968-02-04 | w: ATL | L: SAC
1968-02-04 | w: NYK | L: BOS
1968-02-04 | w: DET | L: WAS
1968-02-04 | w: PHI | L: GSW
1968-02-05 | w: WAS | L: HOU
1968-02-05 | w: OKC | L: SAC
1968-02-06 | w: DET | L: HOU
1968-02-06 | w: LAL | L: SAC
1968-02-06 | w: NYK | L: ATL
1968-02-06 | w: GSW | L: CHI
1968-02-07 | w: PHI | L: HOU
1968-02-07 | w: BOS | L: ATL
1968-02-07 | w: NYK | L: WAS
1968-02-08 | w: WAS | L: HOU
1968-02-08 | w: GSW | L: SAC
1968-02-08 | w: OKC | L: LAL
1968-02-08 | w: CHI | L: DET
1968-02-09 | w: LAL | L: GSW
1968-02-09 | w: ATL | L: NYK
1968-02-09 | w: BOS | L: DET
1968-02-09 | w: PHI | L: CHI
1968-02-10 | w: ATL | L: CHI
1968-02-10 | w: NYK | L: PHI
1968-02-10 | w: WAS | L: DET
1968-02-10 | w: SAC | L: HOU
1968-02-11 | w: LAL | L: BOS
1968-02-11 | w: WAS | L: HOU
1968-02-11 | w: OKC | L: GSW
1968-02-11 | w: PHI | L: ATL
1968-02-12 | w: CHI | L: SAC
1968-02-13 | w: ATL | L: SAC
1968-02-13 | w: PHI | L: GSW
1968-02-13 | w: BOS | L: DET
1968-02-13 | w: CHI | L: HOU
1968-02-13 | w: LAL | L: WAS
1968-02-14 | w: BOS | L: DET
1968-02-14 | w: NYK | L: HOU
1968-02-14 | w: PHI | L: OKC
1968-02-15 | w: LAL | L: CHI
1968-02-15 | w: GSW | L: HOU
1968-02-15 | w: SAC | L: OKC
1968-02-16 | w: GSW | L: LAL
1968-02-16 | w: WAS | L: OKC
1968-02-16 | w: PHI | L: HOU
1968-02-16 | w: BOS | L: CHI
1968-02-16 | w: SAC | L: NYK
1968-02-17 | w: BOS | L: ATL
1968-02-17 | w: NYK | L: OKC
1968-02-17 | w: SAC | L: WAS
1968-02-17 | w: PHI | L: LAL
1968-02-18 | w: CHI | L: ATL
1968-02-18 | w: DET | L: GSW
1968-02-18 | w: HOU | L: PHI
1968-02-18 | w: SAC | L: BOS
1968-02-20 | w: WAS | L: ATL
1968-02-20 | w: BOS | L: SAC
1968-02-20 | w: PHI | L: OKC
1968-02-20 | w: CHI | L: DET
1968-02-20 | w: NYK | L: GSW
1968-02-21 | w: CHI | L: OKC
1968-02-21 | w: LAL | L: BOS
1968-02-21 | w: WAS | L: GSW
1968-02-22 | w: ATL | L: DET
1968-02-22 | w: WAS | L: SAC
1968-02-23 | w: LAL | L: SAC
1968-02-23 | w: ATL | L: WAS
1968-02-23 | w: GSW | L: BOS
1968-02-23 | w: OKC | L: HOU
1968-02-23 | w: PHI | L: DET
1968-02-24 | w: BOS | L: OKC
1968-02-24 | w: GSW | L: SAC
1968-02-24 | w: NYK | L: CHI
1968-02-24 | w: WAS | L: DET
1968-02-25 | w: PHI | L: ATL
1968-02-25 | w: NYK | L: DET
1968-02-25 | w: LAL | L: HOU
1968-02-26 | w: BOS | L: HOU
1968-02-27 | w: LAL | L: SAC
1968-02-27 | w: ATL | L: NYK
1968-02-27 | w: PHI | L: GSW
1968-02-28 | w: BOS | L: GSW
1968-02-28 | w: NYK | L: WAS
1968-02-29 | w: LAL | L: CHI
1968-02-29 | w: SAC | L: HOU
1968-02-29 | w: ATL | L: NYK
1968-03-01 | w: BOS | L: CHI
1968-03-01 | w: SAC | L: GSW
1968-03-01 | w: DET | L: ATL
1968-03-01 | w: WAS | L: HOU
1968-03-02 | w: LAL | L: OKC
1968-03-02 | w: GSW | L: WAS
1968-03-02 | w: NYK | L: DET
1968-03-03 | w: LAL | L: WAS
1968-03-03 | w: ATL | L: HOU
1968-03-03 | w: PHI | L: BOS
1968-03-03 | w: DET | L: CHI
1968-03-03 | w: SAC | L: OKC
1968-03-05 | w: ATL | L: GSW
1968-03-05 | w: BOS | L: NYK
1968-03-05 | w: WAS | L: OKC
1968-03-05 | w: DET | L: CHI
1968-03-05 | w: PHI | L: HOU
1968-03-06 | w: ATL | L: LAL
1968-03-06 | w: BOS | L: NYK
1968-03-06 | w: DET | L: HOU
1968-03-06 | w: SAC | L: PHI
1968-03-07 | w: ATL | L: OKC
1968-03-07 | w: LAL | L: HOU
1968-03-07 | w: CHI | L: BOS
1968-03-07 | w: PHI | L: SAC
1968-03-08 | w: LAL | L: HOU
1968-03-08 | w: WAS | L: OKC
1968-03-08 | w: PHI | L: BOS
1968-03-08 | w: DET | L: SAC
1968-03-09 | w: OKC | L: HOU
1968-03-09 | w: ATL | L: CHI
1968-03-09 | w: LAL | L: GSW
1968-03-10 | w: WAS | L: LAL
1968-03-10 | w: DET | L: ATL
1968-03-10 | w: SAC | L: BOS
1968-03-10 | w: PHI | L: NYK
1968-03-10 | w: GSW | L: OKC
1968-03-11 | w: BOS | L: OKC
1968-03-11 | w: CHI | L: SAC
1968-03-12 | w: PHI | L: CHI
1968-03-12 | w: NYK | L: WAS
1968-03-12 | w: DET | L: OKC
1968-03-12 | w: BOS | L: GSW
1968-03-13 | w: LAL | L: GSW
1968-03-13 | w: CHI | L: WAS
1968-03-13 | w: BOS | L: HOU
1968-03-13 | w: NYK | L: PHI
1968-03-13 | w: SAC | L: OKC
1968-03-14 | w: SAC | L: ATL
1968-03-15 | w: LAL | L: NYK
1968-03-15 | w: DET | L: GSW
1968-03-15 | w: OKC | L: CHI
1968-03-15 | w: PHI | L: WAS
1968-03-16 | w: LAL | L: DET
1968-03-16 | w: ATL | L: OKC
1968-03-16 | w: BOS | L: WAS
1968-03-16 | w: PHI | L: CHI
1968-03-17 | w: LAL | L: DET
1968-03-17 | w: WAS | L: BOS
1968-03-17 | w: NYK | L: GSW
1968-03-17 | w: CHI | L: HOU
1968-03-18 | w: NYK | L: GSW
1968-03-18 | w: DET | L: OKC
1968-03-18 | w: PHI | L: LAL
1968-03-19 | w: LAL | L: HOU
1968-03-19 | w: OKC | L: CHI
1968-03-19 | w: SAC | L: PHI
1968-03-20 | w: DET | L: BOS
1968-03-20 | w: NYK | L: SAC
1968-03-20 | w: PHI | L: WAS
1968-03-20 | w: CHI | L: HOU
============ End of Regular Season ============
1968-03-22 | w: GSW | L: ATL
1968-03-22 | w: PHI | L: NYK
1968-03-23 | w: ATL | L: GSW
1968-03-23 | w: NYK | L: PHI
1968-03-24 | w: LAL | L: CHI
1968-03-24 | w: BOS | L: DET
1968-03-25 | w: LAL | L: CHI
1968-03-25 | w: DET | L: BOS
1968-03-26 | w: GSW | L: ATL
1968-03-27 | w: DET | L: BOS
1968-03-27 | w: CHI | L: LAL
1968-03-27 | w: PHI | L: NYK
1968-03-28 | w: BOS | L: DET
1968-03-29 | w: GSW | L: ATL
1968-03-29 | w: LAL | L: CHI
1968-03-30 | w: NYK | L: PHI
1968-03-31 | w: LAL | L: CHI
1968-03-31 | w: ATL | L: GSW
1968-03-31 | w: BOS | L: DET
1968-03-31 | w: PHI | L: NYK
1968-04-01 | w: PHI | L: NYK
1968-04-01 | w: BOS | L: DET
1968-04-02 | w: GSW | L: ATL
1968-04-05 | w: LAL | L: GSW
1968-04-05 | w: BOS | L: PHI
1968-04-10 | w: LAL | L: GSW
1968-04-10 | w: PHI | L: BOS
1968-04-11 | w: LAL | L: GSW
1968-04-11 | w: PHI | L: BOS
1968-04-13 | w: LAL | L: GSW
1968-04-14 | w: PHI | L: BOS
1968-04-15 | w: BOS | L: PHI
1968-04-17 | w: BOS | L: PHI
1968-04-19 | w: BOS | L: PHI
1968-04-21 | w: BOS | L: LAL
1968-04-24 | w: LAL | L: BOS
1968-04-26 | w: BOS | L: LAL
1968-04-28 | w: LAL | L: BOS
1968-04-30 | w: BOS | L: LAL
1968-05-02 | w: BOS | L: LAL
============ End of Playoffs ============
